name,company,email,address,country,state,website,phone
,Argilla Brewing Co. at Pietro's Pizza,petedisabatino@argillabrewing.com,"2667 Kirkwood Highway Newark, DE 19711",United States,Delaware,https://www.argillabrewing.com/,(302) 731-8200
,The Grand Opera House,sdonawa@grandopera.org,"818 N. Market Street Wilmington, DE 19801",United States,Delaware,https://www.thegrandwilmington.org/,(302) 652-5577
,Big Oyster Brewery,sean@finsgroup.com,"1007 Kings Highway Lewes, DE 19958",United States,Delaware,https://www.bigoysterbrewery.com/,(302) 644-2621
,Bethany Blues,shannon@bethanyblues.com,"18385 Coastal Highway Lewes, DE 19958",United States,Delaware,https://bethanyblues.com,(302) 644-2500
,Harvest Ridge Winery,stephanie@harvestridgewinery.com,"447 Westville Road Marydel, DE 19964",United States,Delaware,https://www.harvestridgewinery.com,(302) 343-9437
,University of Delaware,student-events@udel.edu,"Newark, DE 19716",United States,Delaware,,(302) 831-2633
,The Boulevard Live Entertainment Restaurant,theblvd1036@gmail.com,"1036 Lafferty Lane Dover, DE 19901",United States,Delaware,https://theboulevardde.com,(302) 264-9322
,Touchdown Restaurant,touchdownrest@aol.com,"1666 S. Dupont Highway Dover, DE 19901",United States,Delaware,https://www.touchdownrestaurantde.com/,(302) 674-0975
,Bottle & Cork,vwalls@deweybeachlife.com,"1807 Coastal Highway Dewey Beach, DE 19971",United States,Delaware,https://www.bottleandcork.com/,(302) 227-7272
,Rusty Rudder,vwalls@deweybeachlife.com,"113 Dickinson Street Dewey Beach, DE 19971",United States,Delaware,https://www.rustyrudder.com/,(302) 227-3888
,316 Main Street Station,316mainstreet@gmail.com,"316 Main Street Daytona Beach, FL 32118",United States,Florida,https://mainstreetlive.com/,(386) 214-1389
,Phoenix Lounge,4heartscafe@gmail.com,"2454 N McMullen Booth Road #209 Clearwater, FL 33759",United States,Florida,https://www.phoenixloungesh.com/,(727) 648-4835
,Schnebly Redland's Winery & Brewery,accounting@schneblywinery.com,"30205 SW 217th Avenue Homestead, FL 33030",United States,Florida,http://www.schneblywinery.com,(305) 242-1224
,Gaspar's Grotto,adam@gasparsgrotto.com,"1805 E. 7th Avenue Tampa, FL 33605",United States,Florida,https://www.gasparsgrotto.com/,(813) 248-5900
,The Peach,adam@no9creative.com,"3950 Georgia Avenue West Palm Beach, FL 33405",United States,Florida,https://www.sub-culture.org/locations/the-peach/,(561) 532-0900
,Dream City,admin@dreamcityorl.com,"6387 W. Colonial Drive Orlando, FL 32818",United States,Florida,,(407) 704-6538
,Two Buks,admin@twobuks.com,"1915 N. Hercules Avenue Clearwater, FL 33763",United States,Florida,http://www.twobuks.com,(727) 442-0812
,The Brewhouse Gallery,aj@brewhousegallery.com,"720 Park Avenue Lake Park, FL 33403",United States,Florida,https://www.kelseycitybrewing.com/thebrewhousgallery,(561) 469-8930
,Bottom's Up Public House,al.publichouse@gmail.com,"208 Avenue A Unit B Fort Pierce, FL 34950",United States,Florida,,(772) 446-3099
,Potbelly's,albert@iconiccorners.com,"459 W. College Avenue Tallahassee, FL 32301",United States,Florida,https://www.potbellys.net,(850) 224-2233
,Grape & The Grain,alexie@grapeandthegrain.com,"1110 Virginia Drive Orlando, FL 32803",United States,Florida,https://grapeandthegrain.com,(407) 674-6156
,ACMA Listening Room,aliceacma@aol.com,"2756 McGregor Boulevard Fort Myers, FL 33901",United States,Florida,,
,The Alley,alleybooking@icloud.com,"114 S. Park Avenue Sanford, FL 32771",United States,Florida,https://www.thealleyblues.com/home,(407) 328-4848
,Heartwood Soundstage,andrew@coltclassicpresents.com,"619 S. Main Street Gainesville, FL 32601",United States,Florida,https://www.heartwoodsoundstage.com/,(352) 448-4849
,Tuffy's Bottle Shop & Lounge,andrew@tuffysmusicbox.com,"200 S. Myrtle Avenue Sanford, FL 32771",United States,Florida,,
,OB's Restaurant & Lounge,anobrien620@aol.com,"1750 North Woodland Boulevard DeLand, FL 32720",United States,Florida,https://obsbardeland.com/,(386) 943-9600
,Apalachicola Yacht Club,apalachicolayachtclub@gmail.com,"170 Water Street Apalachicola, FL 32320",United States,Florida,https://apalachicolayachtclub.com/,(864) 490-4521
,New Tampa Performing Arts Center,arsenaultk@hcfl.gov,"8550 Hunters Village Road Tampa, FL 33647",United States,Florida,https://www.newtampaartscenter.org/,(813) 829-2760
,Blue Jean Blues Bar,ask.bjblive@gmail.com,"3320 NE 33rd Street Fort Lauderdale, FL 33308",United States,Florida,,(954) 306-6330
,Pineapples,austin@pineapplesegad.com,"1434 Pineapple Avenue Melbourne, FL 32935",United States,Florida,https://www.pineapplesegad.com/,(321) 499-1400
,Al's Beach Club & Burger Bar,AVTECH@theboardwalkfwb.com,"1450 Miracle Strip Parkway Fort Walton Beach, FL 32548",United States,Florida,https://www.alsbeachclub.com/,(850) 226-4100
,Baby J’s Bar,babyjsbar@gmail.com,"7 W. University Avenue Gainesville, FL 32601",United States,Florida,https://www.babyjsbar.com/,(352) 505-5039
,Bamboo Willie's,bandbooking@bamboowillies.com,"400 Quietwater Beach Road Pensacola Beach, FL 32561",United States,Florida,https://bamboowillies.com/,(850) 916-9888
,Hurricane Creek Saloon,baritems@aol.com,"829 E. New Haven Avenue Melbourne, FL 32901",United States,Florida,https://hurricanecreeksaloon.com/,(321) 802-3205
,Bethune-Cookman University,barnesk@cookman.edu,"640 Doctor Mary McLeod Bethune Boulevard Daytona Beach, FL 32114",United States,Florida,,
,Loch Bar Restaurant,barrett@atlasrestaurantgroup.com,"346 Plaza Real Boca Raton, FL 33432",United States,Florida,https://lochbar.com,(561) 939-6600
,Bayou Brewing Co.,bayoubrewingco@gmail.com,"120 Partin Drive North Niceville, FL 32578",United States,Florida,,(850) 424-7010
,The Blueberry Patch,BBPbandbooking@gmail.com,"4923 20th Avenue South Gulfport, FL 33707",United States,Florida,http://blueberrypatch.org/,(727) 914-0226
,Black Crow Coffee Co.,bcc@blackcrowcoffeeco.com,"722 2nd Street North St. Petersburg, FL 33701",United States,Florida,,
,The Beach Club,beachclubsiestakeyfl@gmail.com,"5151 Ocean Boulevard Sarasota, FL 34242",United States,Florida,https://beachclubsiestakey.com/,(941) 349-6311
,Beach Shack,bearfeetmusic@gmail.com,"1 Minutemen Causeway Cocoa Beach, FL 32931",United States,Florida,,(321) 783-2250
,The Palace Saloon,becca@theaihg.com,"117 Centre Street Fernandina Beach, FL 32034",United States,Florida,https://www.theaihg.com/the-palace-saloon,(904) 502-7231
,The Hurricane Bar and Lounge,ben@theninesociety.com,"640-7 E. Atlantic Avenue Delray Beach, FL 33483",United States,Florida,,(561) 278-0282
,Troll Music,billy@trollmusic.com,"628 E. Venice Avenue Venice, FL 34285",United States,Florida,https://www.trollmusic.com/,(941) 484-8765
,Blackbird Ordinary,BlackbirdOrdinary@gmail.com,"729 SW 1st Avenue Miami, FL 33130",United States,Florida,http://www.blackbirdordinary.com,(305) 671-3307
,Blind Lion,blindlionjazzandblues@gmail.com,"101 Harrison Street Cocoa, FL 32922",United States,Florida,http://www.pubamericana.com/blindlion.html,(321) 877-3456
,Blue Marlin,bluemarlinseafoodami@gmail.com,"121 Bridge Street Bradenton Beach, FL 34217",United States,Florida,http://bluemarlinami.com/,(941) 896-9737
,Blue Parrott,blueparrotstpetebeach@gmail.com,"85 Corey Avenue St. Pete Beach, FL 33706",United States,Florida,https://www.blueparrottstpetebeach.com/,(727) 368-9619
,Bradenton Blues Festival,blues@realizebradenton.com,"1611 9th Street West Bradenton, FL 34205",United States,Florida,https://www.realizebradenton.com/events/blues/,(941) 301-8445
,Lighthouse Grill and Tiki Bar,bob@lighthouse-grill.com,"260 Maryland Avenue Englewood, FL 34224",United States,Florida,https://www.lighthouse-grill.com/,(941) 828-1368
,Boca Black Box,bocablackboxhannah@gmail.com,"8221 Glades Road Boca Raton, FL 33434",United States,Florida,https://www.bocablackbox.com/,(561) 483-9036
,Debauchery,bookdebauchery@gmail.com,"807 E. New Haven Avenue Melbourne, FL 32901",United States,Florida,,(321) 821-4914
,BEDLAM,booking@bedlambrews.com,"660 Mayport Road Atlantic Beach, FL 32233",United States,Florida,https://bedlambrews.com/,(904) 865-2739
,Blue Jay Listening Room,booking@bluejayjax.com,"2457 3rd Street South Jacksonville Beach, FL 32250",United States,Florida,http://www.bluejayjax.com,(904) 318-3020
,Conduit,booking@conduitfl.com,"6700 Aloma Avenue Winter Park, FL 32792",United States,Florida,,
,Crazy Uncle Mike's,booking@crazyunclemikes.com,"6450 N. Federal Highway Boca Raton, FL 33487",United States,Florida,https://crazyunclemikes.com/,(561) 931-2889
,West End Trading Co.,booking@drinkatwestend.com,"202 S. Sanford Avenue Sanford, FL 32771",United States,Florida,https://www.drinkatwestend.com/,(407) 322-7475
,Frank Brown Songwriters Festival,booking@florabama.com,"17401 Perdido Key Drive Pensacola, FL 32507",United States,Florida,https://www.florabama.com/frank-brown-festival,(850) 492-0611
,"Flora-Bama Lounge, Package, & Oyster Bar",booking@florabama.com,"17401 Perdido Key Drive Pensacola, FL 32507",United States,Florida,https://www.florabama.com/,(850) 492-0611
,Funky Biscuit,booking@funkybiscuit.com,"303 SE Mizner Boulevard Boca Raton, FL 33432",United States,Florida,http://www.funkybiscuit.com,(561) 395-2929
,The Great Outdoors Restaurant,booking@gnventertainment.com,"18587 High Springs Main Street High Springs, FL 32643",United States,Florida,https://www.gohighsprings.com/,(386) 454-1288
,Gramps,booking@gramps.com,"176 NW 24th Street Miami, FL 33127",United States,Florida,https://gramps.com/,(855) 732-8992
,House of Music Tallahassee,booking@houseofmusictally.com,"2011 S. Monroe Street Tallahassee, FL 32301",United States,Florida,https://www.houseofmusictally.com/,(850) 629-9526
,Legacy at the Riverfront,booking@legacyevents.net,"9330 W. Tennessee Street Tallahassee, FL 32304",United States,Florida,,
,Loosey's Downtown,booking@looseys.com,"120 SW 1st Avenue Gainesville, FL 32601",United States,Florida,https://www.looseys.com/,(352) 672-6465
,Murray Hill Theatre,booking@mhtrocks.com,"932 Edgewood Avenue S. Jacksonville, FL 32205",United States,Florida,https://murrayhilltheatre.com/,(904) 388-3179
,Underbelly,booking@underbellyjax.com,"113 E. Bay Street Jacksonville, FL 32202",United States,Florida,https://www.underbellyjax.com,(904) 374-9351
,Fire Betty's Arcade Bar,bookingbettys@gmail.com,"1122 Thomasville Road Suite 1 Tallahassee, FL 32303",United States,Florida,https://firebettysevents.com/,(850) 329-8113
,Joyland Country Music Night Club,bookings@joylandbradenton.com,"8341 Lockwood Ridge Road Bradenton, FL 34243",United States,Florida,https://joylandbradenton.com/,(941) 210-4110
,The Beacham,bookings@thebeacham.com,"46 N. Orange Avenue Orlando, FL 32801",United States,Florida,https://www.beachamorlando.com/,(407) 648-8363
,The Social,bookings@thesocial.org,"54 N. Orange Avenue Orlando, FL 32801",United States,Florida,https://www.foundation-presents.com/,(407) 648-8363
,Mile 0 Fest,boxoffice@mile0fest.com,"Key West, FL 33040",United States,Florida,https://www.mile0fest.com/,(305) 363-5899
,Revelry,brando@revelrybars.com,"227 S. Federal Highway Pompano Beach, FL 33062",United States,Florida,https://revelryfla.com/,(954) 295-6662
,Brass Mug,brassmugtampa@gmail.com,"1450 Skipper Road Tampa, FL 33613",United States,Florida,,(813) 972-8152
,Breezy Jazz House,breezyjazzclub@gmail.com,"1402 San Marco Boulevard Jacksonville, FL 32207",United States,Florida,https://breezyjazzhouse.com/,(904) 204-5299
,Stache Drinking Den + Coffee Bar,brian@damngoodhospitality.com,"109 SW 2nd Avenue Fort Lauderdale, FL 33301",United States,Florida,https://stacheftl.com/,(954) 449-1025
,Squid Lips,brian@squidlipsgrill.com,"1477 Pineapple Avenue Melbourne, FL 32935",United States,Florida,http://www.squidlipsgrill.com,(321) 259-3101
,Glenridge On Palmer Ranch Performing Arts Center,bturoff@theglenridge.com,"7333 Scotland Way Sarasota, FL 34238",United States,Florida,https://theglenridge.com/amenities/glenridge-performing-arts,(941) 552-5300
,Buddha LIVE,buddhaliverocks@gmail.com,"12701 McGregor Boulevard Fort Myers, FL 33919",United States,Florida,,(239) 457-8990
,Barry University,cab@mail.barry.edu,"11300 Northeast 2nd Avenue Miami Shores, FL 33161",United States,Florida,,(305) 899-4768
,University of West Florida,cab@uwf.edu,"11000 University Parkway Pensacola, FL 32514",United States,Florida,,(850) 474-2117
,Cafe in the Park,cafeinthepark@outlook.com,"2010 Adams Lane Sarasota, FL 34237",United States,Florida,http://www.cafeinthepark.org/,(941) 361-3032
,Cagney's Saloon,cagneysaloon@gmail.com,"5983 S. University Drive Davie, FL 33328",United States,Florida,,(954) 689-0035
,Dada,carlosg@subculturegroup.com,"52 N. Swinton Avenue Delray Beach, FL 33444",United States,Florida,https://www.sub-culture.org/locations/dada/,(561) 330-3232
,Gulfport Casino Ballroom,casinoinfo@mygulfport.us,"5500 Shore Boulevard Gulfport, FL 33707",United States,Florida,https://mygulfport.us/recreation/casino/,(727) 893-1070
,Tampa Bay Brewing Company,cassidy@tbbc.beer,"1600 E. 8th Avenue Tampa, FL 33605",United States,Florida,https://www.tbbc.beer/ybor,(813) 247-1422
,Shovelhead Lounge,cathy@shovelheadlounge.com,"900 S. US Highway 17 92 Longwood, FL 32750",United States,Florida,https://www.shovelheadlounge.com/,(407) 332-9199
,Florida State University,cdubooking@admin.fsu.edu,"600 W. College Avenue Tallahassee, FL 32306",United States,Florida,,
,Club Downunder,cdubooking@admin.fsu.edu,"A303 Oglesby Union Tallahassee, FL 32306",United States,Florida,https://union.fsu.edu/up,(850) 644-6673
,Snapper's Waterfront Saloon,ceo@snapperskeylargo.com,"139 Seaside Avenue Key Largo, FL 33037",United States,Florida,http://www.snapperskeylargo.com,(305) 852-5956
,The Hub Bar,cfox3@hotmail.com,"719 N. Franklin Street Tampa, FL 33602",United States,Florida,,(813) 229-1553
,Cafe Eleven,chad.cafe11@yahoo.com,"501 A1A Beach Boulevard St. Augustine, FL 32080",United States,Florida,http://www.originalcafe11.com/,(904) 460-9311
,Charlie Horse,charliehorseocalagm@gmail.com,"2426 E. Silver Springs Boulevard Ocala, FL 34470",United States,Florida,https://www.ocalacharliehorse.com/,(352) 622-4050
,Stottlemyer's Smokehouse,chillbilly.dodge@gmail.com,"19 East Road Sarasota, FL 34240",United States,Florida,http://www.stottlemyerssmokehouse.com,(941) 312-5969
,Riverside Arts Market,chloe@riversideavondale.org,"715 Riverside Avenue Jacksonville, FL 32204",United States,Florida,https://riversideartsmarket.org/,(904) 389-2449
,Judson's Live,chris.belt@drphillipscenter.org,"445 S Magnolia Avenue Orlando, FL 32801",United States,Florida,https://www.drphillipscenter.org/events/judsonslive/experience/,(407) 358-6603
,RockPit Brewing,chris@rockpitbrewing.com,"10 W. Illiana Street Orlando, FL 32806",United States,Florida,https://rockpitbrewing.com/,(407) 826-1773
,Blue Tavern,clhamby65@gmail.com,"1206 N. Monroe Street Tallahassee, FL 32303",United States,Florida,https://www.bluetaverntallahassee.com/,(850) 815-8566
,The Orpheum,cluborpheum813@gmail.com,"14802 N. Nebraska Avenue Tampa, FL 33613",United States,Florida,https://www.theorpheum.com/,(813) 248-9500
,Florida Institute of Technology,cnanney@fit.edu,"150 West University Boulevard Melbourne, FL 32901",United States,Florida,,
,Catches Waterfront Grille,contact@catcheswaterfrontgrille.com,"7811 Bayview Street Port Richey, FL 34668",United States,Florida,http://www.catcheswaterfrontgrille.com,(727) 849-2121
,Whiskey Joe's Bar and Grill,contactus@lukeentertainment.com,"7835 Bayview Street Port Richey, FL 34668",United States,Florida,https://www.thewhiskeyjoes.com/,(727) 815-1178
,Blue Bamboo Center For The Arts,cortezguitar@earthlink.net,"1905 Kentucky Avenue Winter Park, FL 32789",United States,Florida,https://www.bluebambooartcenter.com/,(407) 636-9951
,County Line Saloon,countylinebarandgrill21@gmail.com,"815 E. Strawbridge Avenue Melbourne, FL 32901",United States,Florida,,(321) 327-3101
,926 Bar & Grill,cowhausproductions@gmail.com,"926 W. Tharpe Street Tallahassee, FL 32303",United States,Florida,https://www.926barandgrill.com/,(850) 727-8140
,The Cafe @ Books & Books,cristina@booksandbooks.com,"265 Aragon Avenue Coral Gables, FL 33134",United States,Florida,https://www.booksandbooks.com/,(305) 442-4408
,AJ's Oyster Shanty,dan@ajsdestin.com,"108 Santa Rosa Boulevard Fort Walton Beach, FL 32548",United States,Florida,https://ajsoystershanty.com/,(850) 226-8108
,AJ's On The Bayou,dan@ajsdestin.com,"200 Eglin Parkway NE Fort Walton Beach, FL 32547",United States,Florida,https://www.ajsonthebayou.com,(850) 226-7579
,AJ's Seafood & Oyster Bar,dan@ajsdestin.com,"116 Harbor Boulevard Destin, FL 32541",United States,Florida,https://ajsdestin.com,(850) 837-1913
,AJ's Grayton Beach,dan@ajsdestin.com,"63 Defuniak Street Santa Rosa Beach, FL 32459",United States,Florida,https://ajsgrayton.com,(850) 231-4102
,Warner University,danielle.bean@warner.edu,"13895 US-27 Lake Wales, FL 33859",United States,Florida,,
,Mathews Brewing Company,david@mathewsbrewingcompany.com,"130 S. H Street Lake Worth, FL 33460",United States,Florida,https://mathewsbrewingcompany.com,(561) 812-3738
,"The Vine Wine Bar, Bistro & Shoppe",david@thevinenavarre.com,"8211 Navarre Parkway Navarre, FL 32566",United States,Florida,https://thevinenavarre.com/,(850) 684-3999
,College of Central Florida,davisk@cf.edu,"15390 N.W. Highway 19 Chiefland, FL 32626",United States,Florida,,
,Big Top Brewers Collective,dean@bigtopbrewing.com,"2507 Lakewood Ranch Boulevard Bradenton, FL 34211",United States,Florida,https://www.bigtopbrewing.com/bigtopbrewerscollectivebeerlist,(941) 708-2966
,Big Top Brewing Company,dean@bigtopbrewing.com,"975 Cattlemen Road Sarasota, FL 34232",United States,Florida,https://www.bigtopbrewing.com/sarasotabeerlist,(941) 371-2939
,Flagler College,dgarby@flagler.edu,"74 King Street St. Augustine, FL 32084",United States,Florida,,
,Monticello Opera House,director@monticellooperahouse.org,"185 W. Washington Street Monticello, FL 32344",United States,Florida,https://www.monticellooperahouse.org/,(850) 997-4242
,Ferg's Sports Bar,djmacman01@yahoo.com,"1320 Central Avenue St. Petersburg, FL 33705",United States,Florida,https://www.fergssportsbar.com/,(727) 822-4562
,Palladium Theater,dougherty.damon@spcollege.edu,"253 5th Avenue North St. Petersburg, FL 33701",United States,Florida,https://mypalladium.org/,(727) 822-3590
,DownTown Music Hall,downtownmusichallfwb@gmail.com,"212 Miracle Strip Parkway SE Fort Walton Beach, FL 32548",United States,Florida,,(850) 226-8307
,The Citadel,dre@thecitadelmiami.com,"8300 NE 2nd Avenue Miami, FL 33138",United States,Florida,https://thecitadelmiami.com,(305) 908-3849
,Heidi's Jazz Club,drew@heidisjazzclub.com,"7 N. Orlando Avenue Cocoa Beach, FL 32931",United States,Florida,https://www.heidisjazzclub.com/,(321) 783-4559
,Lynch's Irish Pub,drew@realtimemanagement.net,"514 1st Street North Jacksonville Beach, FL 32250",United States,Florida,https://www.lynchsirishpub.com/,(904) 249-5181
,Island Hopper Songwriter Fest,DSpears@BMI.com,"The beaches of Fort Myers and Sanibel Fort Myers, FL 33901",United States,Florida,,
,World of Beer Westchase,dungnto85@gmail.com,"9524 W. Linebaugh Avenue Tampa, FL 33626",United States,Florida,https://worldofbeer.com/locations/westchase,(813) 852-2337
,Easy Going Gallery,easygoinggallery@gmail.com,"701 N. V Street Pensacola, FL 32505",United States,Florida,https://www.easygoinggallery.org/,(850) 417-5000
,The Neptune Lounge,eddiemullally@yahoo.com,"13 S. Safford Avenue Tarpon Springs, FL 34689",United States,Florida,,(727) 943-5805
,Ellie Ray's RV Resort & Lounge,ellierays@gmail.com,"3349 NW 110th Street Branford, FL 32008",United States,Florida,https://ellieraysrvresort.com/,(855) 748-3713
,Emerald Bar,emeraldbar1950@gmail.com,"550 Central Avenue St. Petersburg, FL 33701",United States,Florida,,(727) 898-6054
,1-800-Lucky,emily@1-800-lucky.com,"143 NW 23rd Street Miami, FL 33127",United States,Florida,https://www.1800lucky.com/,(305) 768-9826
,The Sound Cafe + Enlightened Studios,enlightenedfwb@gmail.com,"142 Miracle Strip Parkway SE Fort Walton Beach, FL 32548",United States,Florida,https://enlightenedfwb.com/,(850) 830-2664
,Atlantic Avenue Yacht Club,entertainment@aaycdelray.com,"2 E. Atlantic Avenue Delray Beach, FL 33444",United States,Florida,https://www.aaycdelray.com/,(561) 562-6597
,Capt Hirams Resort,entertainment@hirams.com,"1580 US Highway 1 Sebastian, FL 32958",United States,Florida,https://hirams.com/,(772) 388-8588
,Dog Rose Brewing Co.,events@dogrosebrewing.com,"77 Bridge Street St. Augustine, FL 32084",United States,Florida,https://www.dogrosebrewing.com/,(904) 217-3355
,Intracoastal Brewing Company,events@intracoastalbrewingcompany.com,"652 W. Eau Gallie Boulevard Melbourne, FL 32935",United States,Florida,https://intracoastalbrewingcompany.com,(321) 872-7395
,The Angeles,events@knallhartgroup.com,"441 NE 3rd Avenue Fort Lauderdale, FL 33301",United States,Florida,https://www.theangelesftl.com/,(954) 488-2117
,Motorworks Brewing,events@motorworksbrewing.com,"1014 9th Street West Bradenton, FL 34205",United States,Florida,https://motorworksbrewing.com/,(941) 567-6218
,Oscura,events@oscura.live,"816 Manatee Avenue East Bradenton, FL 34208",United States,Florida,https://oscura.live/,(941) 201-4950
,Wtr Pool,events@piedpiperproductions.com,"7700 W. Courtney Campbell Causeway Tampa, FL 33607",United States,Florida,https://wtrpool.com/,(813) 265-1234
,Tea & Poets,events@teaandpoets.com,"5701 Sunset Drive South Miami, FL 33143",United States,Florida,http://teaandpoets.com/,(786) 216-7201
,The Independent Bar and Cafe,eventswithindependent@gmail.com,"5016 N. Florida Avenue Tampa, FL 33603",United States,Florida,https://www.independentbartampa.com/,(813) 341-4883
,The Falcon,FalconBarMusic@gmail.com,"819 E. Washington Street Orlando, FL 32801",United States,Florida,https://linktr.ee/thefalconbar,(407) 986-0755
,Jerry's Italian Grill & Tiki Bar,fcipolla71@gmail.com,"33 Inlet Harbor Road Ponce Inlet, FL 32127",United States,Florida,https://www.jerrystikibarandpizza.com/,(386) 760-2200
,Looe Key Tiki Bar & Grill,fohmanager@looekeyreefresort.com,"27340 Overseas Highway Ramrod Key, FL 33042",United States,Florida,https://looekeyreefresort.com/entertainment-schedule,(305) 872-2215
,Earl's Hideaway,frannipalooza@ymail.com,"1405 Indian Drive Sebastian, FL 32958",United States,Florida,https://earlshideaway.com/,(772) 589-5700
,Peg Leg Pete's,freddie@peglegpetes.com,"1010 Fort Pickens Road Pensacola Beach, FL 32561",United States,Florida,https://peglegpetes.com/,(850) 932-4139
